"","RawName","CorrectedGenus","CorrectedSpecies"
"228","Acalypha stenoloba","Acalypha","stenoloba"
"229","Acalypha stricta","Acalypha","stricta"
"230","Acalypha villosa","Acalypha","villosa"
"231","Acanthocereus pentagonus","Acanthocereus","pentagonus"
"232","Acanthocereus sppChaquima1","Acanthocereus",NA
"233","Acanthocladus pulcherrimus","Acanthocladus","pulcherrimus"
"234","Acanthopanax senticosus","Acanthopanax","senticosus"
"235","Acanthosyris annonagustata","Acanthosyris","annonagustata"
"236","Acca sellowiana","Acca","sellowiana"
"237","Acer amplum","Acer","amplum"
"238","Acer barbatum","Acer","barbatum"
"239","Acer barbinerve","Acer","barbinerve"
"240","Acer buergerianum","Acer","buergerianum"
"241","Acer caesium","Acer","caesium"
"242","Acer campbellii","Acer","campbellii"
"243","Acer campestre","Acer","campestre"
"244","Acer cappadocicum","Acer","cappadocicum"
"245","Acer cordatum","Acer","cordatum"
"246","Acer crataegifolium","Acer","crataegifolium"
"247","Acer fabri","Acer","fabri"
"248","Acer ginnala","Acer","ginnala"
"249","Acer glabrum","Acer","glabrum"
"250","Acer grandidentatum","Acer","grandidentatum"
"251","Acer komarovii","Acer","komarovii"
"252","Acer leucoderme","Acer","leucoderme"
"253","Acer lobelii","Acer","lobelii"
"254","Acer macrophyllum","Acer","macrophyllum"
"255","Acer mandshuricum","Acer","mandshuricum"
"256","Acer mono","Acer","mono"
"257","Acer monspessulanum","Acer","monspessulanum"
"258","Acer negundo","Acer","negundo"
"259","Acer nigrum","Acer","nigrum"
"260","Acer obtusatum","Acer","obtusatum"
"261","Acer obtusifolium","Acer","obtusifolium"
"262","Acer opalus","Acer","opalus"
"263","Acer palmatum","Acer","palmatum"
"264","Acer pensylvanicum","Acer","pensylvanicum"
"265","Acer pictum","Acer","pictum"
"266","Acer pilosum","Acer","pilosum"
"267","Acer platanoides","Acer","platanoides"
"268","Acer pseudo-sieboldianum","Acer","pseudosieboldianum"
"269","Acer pseudoplatanus","Acer","pseudoplatanus"
"270","Acer pseudosieboldianum","Acer","pseudosieboldianum"
"271","Acer rubrum","Acer","rubrum"
"272","Acer saccharinum","Acer","saccharinum"
"273","Acer saccharum","No","suitable"
"274","Acer spicatum","Acer","spicatum"
"275","Acer sppCAi1","Acer",NA
"276","Acer sppDEii1","Acer",NA
"277","Acer sppEU1","Acer",NA
"278","Acer sppIN1","Acer",NA
"279","Acer sppNL1","Acer",NA
"280","Acer sppNL2","Acer",NA
"281","Acer sppUS1","Acer",NA
"282","Acer tataricum","Acer","tataricum"
"283","Acer tegmentosum","No","suitable"
"284","Acer triflorum","Acer","triflorum"
"285","Acer truncatum","Acer","truncatum"
"286","Acer ukurunduense","Acer","ukurunduense"
"287","Aceratium oppositifolium","Aceratium","oppositifolium"
"288","Aceratium parvifolium","Aceratium","parvifolium"
"289","Aceratium sppPacific1","Aceratium",NA
"290","Aceratium sppVarirata1","Aceratium",NA
"291","Aceratium sppVarirata3","Aceratium",NA
"292","Achatocarpus gracilis","Achatocarpus","gracilis"
"293","Achatocarpus nigricans","Achatocarpus","nigricans"
"294","Achatocarpus praecox","Achatocarpus","praecox"
"295","Achatocarpus sppSantotom1","Achatocarpus",NA
"296","Achras zapota","Achras","zapota"
"297","Acidoton sppRanchoqu1","Acidoton",NA
"298","Acioa scabrifolia","Acioa","scabrifolia"
"299","Ackama rosifolia","Ackama","rosifolia"
"300","Acmena acuminatissima","Acmena","acuminatissima"
"301","Acmena hemilampra","Acmena","hemilampra"
"302","Acmena smithii","Acmena","smithii"
"303","Acnistus arborescens","Acnistus","arborescens"
"304","Acosmium cardenasii","Acosmium","cardenasii"
"305","Acosmium lentiscifolium","Acosmium","lentiscifolium"
"306","Acosmium sppRAINFOR1","Acosmium",NA
"307","Acrocarpus fraxinifolius","Acrocarpus","fraxinifolius"
"308","Acrocomia aculeata","Acrocomia","aculeata"
"309","Acrocomia media","Acrocomia","media"
"310","Acrocomia totai","Acrocomia","totai"
"311","Acronychia laevis","Acronychia","laevis"
"312","Acronychia pedunculata","Acronychia","pedunculata"
"313","Acronychia porteri","Acronychia","porteri"
"314","Acronychia wilcoxiana","Acronychia","wilcoxiana"
"315","Acropogon aoupiniensis","Acropogon","aoupiniensis"
"316","Acropogon grandiflorus","Acropogon","grandiflorus"
"317","Acropogon merytifolius","Acropogon","merytifolius"
"318","Acropogon sageniifolius","Acropogon","sageniifolia"
"319","Acropogon schistophilus","Acropogon","schistophilus"
"320","Acropogon schumannianus","Acropogon","schumanniana"
"321","Acsmithia sppNewcaldo1","Acsmithia",NA
"322","Actinidia arguta","Actinidia","arguta"
"323","Actinodaphne borneensis","Actinodaphne","borneensis"
"324","Actinodaphne ferruginea","Actinodaphne","ferruginea"
"325","Actinodaphne lancifolia","Actinodaphne","lancifolia"
"326","Actinodaphne macrophylla","Actinodaphne","macrophylla"
"327","Actinodaphne nitida","Actinodaphne","nitida"
"328","Actinodaphne obovata","Actinodaphne","obovata"
"329","Actinodaphne pruinosa","Actinodaphne","pruinosa"
"330","Actinodaphne sppBaitete1","Actinodaphne",NA
"331","Actinodaphne sppIN1","Actinodaphne",NA
"332","Actinodaphne sppTEAM1","Actinodaphne",NA
"333","Actinodaphne sppVN1","Actinodaphne",NA
"334","Actinokentia divaricata","Actinokentia","divaricata"
"335","Actinostemon brasiliensis","Actinostemon","brasiliensis"
"336","Actinostemon concepcionis","Actinostemon","concepcionis"
"337","Actinostemon concolor","Actinostemon","concolor"
"338","Actinostemon klotzschii","Actinostemon","klotzschii"
"339","Actinostemon sppBRii1","Actinostemon",NA
"340","Actinostemon sppBRii2","Actinostemon",NA
"341","Actinostemon sppSCA1","Actinostemon",NA
"342","Acumea kleniana","Aucoumea",NA
"343","Adansonia digitata","Adansonia","digitata"
"344","Adelia ricinella","Adelia","ricinella"
"345","Adelia sppGT1","Adelia",NA
"346","Adelia triloba","Adelia","triloba"
"347","Adelobotrys adscendens","Adelobotrys","adscendens"
"348","Adelobotrys sppMiazi1","Adelobotrys",NA
"349","Adelobotrys sppTutunend1","Adelobotrys",NA
"350","Adenanthera bicolor","Adenanthera","bicolor"
"351","Adenanthera klaineana","Adenanthera",NA
"352","Adenanthera malayana","Adenanthera","malayana"
"353","Adenanthera microsperma","Adenanthera","microsperma"
"354","Adenanthera pavonina","Adenanthera","pavonina"
"355","Adenanthera sppPasoh401","Adenanthera",NA
"356","Adenia olaboensis","Adenia","olaboensis"
"357","Adenia penangiana","Adenia","penangiana"
"358","Adenia sppAnkarif1","Adenia",NA
"359","Adenocalymma hirtum","Adenocalymma","hirtum"
"360","Adenocalymma sppPE1","Adenocalymma",NA
"361","Adenocalymma sppSCA1","Adenocalymma",NA
"362","Adenocalymna bracteatum","Adenocalymna","bracteatum"
"363","Adenocalymna bracteolatum","Adenocalymna","bracteolatum"
"364","Adenocalymna flavum","Adenocalymma","flavum"
"365","Adenocalymna grandifolium","Adenocalymna","grandifolium"
"366","Adenocalymna hirtum","Adenocalymma","hirtum"
"367","Adenocalymna impressum","Adenocalymna","impressum"
"368","Adenocalymna inundatum","Adenocalymna","inundatum"
"369","Adenocalymna magdalenense","Adenocalymma","magdalenense"
"370","Adenocalymna marginatum","Adenocalymna","marginatum"
"371","Adenocalymna paulistarum","Adenocalymna","paulistarum"
"372","Adenocalymna prancei","Adenocalymma","prancei"
"373","Adenocalymna purpurascens","Adenocalymna","purpurascens"
"374","Adenocalymna redactum","Adenocalymma","redactum"
"375","Adenocalymna salmoneum","Adenocalymna","salmoneum"
"376","Adenocalymna sclerophyllum","Adenocalymma","sclerophyllum"
"377","Adenocalymna sppCarajas1","Adenocalymna",NA
"378","Adenocalymna uleanum","Adenocalymna","uleanum"
"379","Adenophaedra megalophylla","Adenophaedra","megalophylla"
"380","Adenophora grandiflora","Adenophora","grandiflora"
"381","Adenopodia polystachya","Adenopodia","polystachya"
"382","Adenopodia scelerata","Adenopodia","scelerata"
"383","Adenopus sppMtcam1","Adenopus",NA
"384","Adenostephanus sppSCA1","Adenostephanus",NA
"385","Adina cordifolia","Adina","cordifolia"
"386","Adina pilulifera","Adina","pilulifera"
"387","Adina polycephala","Adina","polycephala"
"388","Adina sessilifolia","Adina","sessilifolia"
"389","Adina sppVN1","Adina",NA
"390","Adinandra formosana","Adinandra","formosana"
"391","Adinandra glischroloma","Adinandra","glischroloma"
"392","Adinandra laotica","Adinandra","laotica"
"393","Adinandra millettii","Adinandra","millettii"
"394","Adinandra sppGenting1","Adinandra",NA
"395","Adinandra sppGenting2","Adinandra",NA
"396","Adinandra sppSakaera21","Adinandra",NA
"397","Aegiphila alba","Aegiphila","alba"
"398","Aegiphila albavel","Aegiphila",NA
"399","Aegiphila amaranth","Aegiphila",NA
"400","Aegiphila anomala","Aegiphila","anomala"
"401","Aegiphila brachiata","Aegiphila","brachiata"
"402","Aegiphila cephalophora","Aegiphila","cephalophora"
"403","Aegiphila chrysantha","Aegiphila","chrysantha"
"404","Aegiphila cordata","Aegiphila","cordata"
"405","Aegiphila costaricensis","Aegiphila","costaricensis"
"406","Aegiphila elata","Aegiphila","elata"
"407","Aegiphila elegans","Aegiphila","elegans"
"408","Aegiphila glabra","Aegiphila","glabra"
"409","Aegiphila haughtii","Aegiphila","haughtii"
"410","Aegiphila hirsuta","Aegiphila","hirsuta"
"411","Aegiphila hoehnei","Aegiphila","hoehnei"
"412","Aegiphila integrifolia","Aegiphila","integrifolia"
"413","Aegiphila laeta","Aegiphila","laeta"
"414","Aegiphila lanceolata","Aegiphila","lanceolata"
"415","Aegiphila macrantha","Aegiphila","macrantha"
"416","Aegiphila obducta","Aegiphila","obducta"
"417","Aegiphila odontophylla","Aegiphila","odontophylla"
"418","Aegiphila panamensis","Aegiphila","panamensis"
"419","Aegiphila sellowiana","Aegiphila","sellowiana"
"420","Aegiphila sppAraracua1","Aegiphila",NA
"421","Aegiphila sppBRi1","Aegiphila",NA
"422","Aegiphila sppCedral1","Aegiphila",NA
"423","Aegiphila sppCerroesp1","Aegiphila",NA
"424","Aegiphila sppColosoi1","Aegiphila",NA
"425","Aegiphila sppCuangos1","Aegiphila",NA
"426","Aegiphila sppCuevas1","Aegiphila",NA
"427","Aegiphila sppFPnet1","Aegiphila",NA
"428","Aegiphila sppFarall1","Aegiphila",NA
"429","Aegiphila sppLaraya1","Aegiphila",NA
"430","Aegiphila sppLinhares1","Aegiphila",NA
"431","Aegiphila sppMagsasay1","Aegiphila",NA
"432","Aegiphila sppPersever1","Aegiphila",NA
"433","Aegiphila sppRiomanso1","Aegiphila",NA
"434","Aegiphila sppRiotavar1","Aegiphila",NA
"435","Aegiphila sppSabanaru1","Aegiphila",NA
"436","Aegiphila sppSantacru1","Aegiphila",NA
"437","Aegiphila sppTamblat21","Aegiphila",NA
"438","Aegiphila sppUcumari1","Aegiphila",NA
"439","Aegiphila verticillata","Aegiphila","verticillata"
"440","Aequatorium cajamarcense","Aequatorium","cajamarcense"
"441","Aerioselam macrocarpom","No","suitable"
"442","Aeschynomene amorphoides","Aeschynomene","amorphoides"
"443","Aesculus californica","Aesculus","californica"
"444","Aesculus flava","Aesculus","flava"
"445","Aesculus glabra","Aesculus","glabra"
"446","Aesculus hippocastaneum","Aesculus","hippocastanum"
"447","Aesculus hippocastanum","Aesculus","hippocastanum"
"448","Aesculus sppUS1","Aesculus",NA
"449","Aesculus sylvatica","Aesculus","sylvatica"
"450","Aextoxicon punctatum","Aextoxicon","punctatum"
"451","Affonsea sppFPnet1","Affonsea",NA
"452","Affonsea sppSCA1","Affonsea",NA
"453","Afraegle paniculata","Afraegle","paniculata"
"454","Afrife sppCDi1","No","suitable"
"455","Afrimax sppCDi1","No","suitable"
"456","Afrocrania volkensii","Afrocrania","volkensii"
"457","Afrosersalisia afzelii","Afrosersalisia","afzelii"
"458","Afrostyrax kamerunensis","Afrostyrax","kamerunensis"
"459","Afrostyrax lepidophyllus","Afrostyrax","lepidophyllus"
"460","Afrostyrax sppBanyong1","Afrostyrax",NA
"461","Afrostyrax sppGA1","Afrostyrax",NA
"462","Afrostyrax sppGA2","Afrostyrax",NA
"463","Afrostyrax sppNdakanni1","Afrostyrax",NA
"464","Afzelia africana","Afzelia","africana"
"465","Afzelia bella","Afzelia","bella"
"466","Afzelia bipindensis","Afzelia","bipindensis"
"467","Afzelia bracteata","Afzelia","bracteata"
"468","Afzelia pachyloba","Afzelia","pachyloba"
"469","Afzelia parviflora","Afzelia","parviflora"
"470","Afzelia sppFPnet1","Afzelia",NA
"471","Afzelia xylocarpa","Afzelia","xylocarpa"
"472","Aganope lucida","Aganope","lucida"
"473","Aganosma marginata","Aganosma","marginata"
"474","Agarista eucalyptoides","Agarista","eucalyptoides"
"475","Agarista salicifolia","Agarista","salicifolia"
"476","Agatea rufotomentosa","Agatea","rufotomentosa"
"477","Agatea sppNewcaldo1","Agatea",NA
"478","Agatea sppNewcaldo2","Agatea",NA
"479","Agathis australis","Agathis","australis"
"480","Agathis lanceolata","Agathis","lanceolata"
"481","Agathis macrophylla","Agathis","macrophylla"
"482","Agathis macrostachys","Agathis","macrostachys"
"483","Agathis moorei","Agathis","moorei"
"484","Agathis robusta","Agathis","robusta"
"485","Agathis sppNewcaldo1","Agathis",NA
"486","Agauria salicifolia","No","suitable"
"487","Agauria sppTZ1","Agauria",NA
"488","Agave sppMotozint1","Agave",NA
"489","Agelaea borneensis","Agelaea","borneensis"
"490","Agelaea macrophylla","Agelaea","macrophylla"
"491","Agelaea obliqua","Agelaea","obliqua"
"492","Agelaea paradoxa","Agelaea","paradoxa"
"493","Agelaea pentagyna","Agelaea","pentagyna"
"494","Agelaea sppNdakani1","Agelaea",NA
"495","Agelaea sppNdakanni1","Agelaea",NA
"496","Agelaea sppPasoh401","Agelaea",NA
"497","Agelaea sppPerinet1","Agelaea",NA
"498","Agelaea trinervis","Agelaea","trinervis"
"499","Aglaia anamallayana","Aglaia","anamallayana"
"500","Aglaia aquea","Aglaia","aquea"
"501","Aglaia argentea","Aglaia","argentea"
"502","Aglaia axillaris","Aglaia","axillaris"
"503","Aglaia basiphylla","Aglaia","basiphylla"
"504","Aglaia borneensis","Aglaia","borneensis"
"505","Aglaia cinerea","Aglaia","cinerea"
"506","Aglaia cordata","Aglaia","cordata"
"507","Aglaia crysocelata","Aglaia",NA
"508","Aglaia cucullata","Aglaia","cucullata"
"509","Aglaia cumingiana","Aglaia","cumingiana"
"510","Aglaia dookoo","Aglaia","dookoo"
"511","Aglaia edulis","Aglaia","edulis"
"512","Aglaia elaeagnoidea","Aglaia","elaeagnoidea"
"513","Aglaia euphorioides","Aglaia","euphorioides"
"514","Aglaia eximia","Aglaia","eximia"
"515","Aglaia exstipulata","Aglaia","exstipulata"
"516","Aglaia forbesii","Aglaia","forbesii"
"517","Aglaia ganggo","Aglaia","ganggo"
"518","Aglaia gigantea","Aglaia","gigantea"
"519","Aglaia glabriflora","Aglaia","glabriflora"
"520","Aglaia grandis","Aglaia","grandis"
"521","Aglaia korthalsii","Aglaia","korthalsii"
"522","Aglaia lawii","Aglaia","lawii"
"523","Aglaia leptantha","Aglaia","leptantha"
"524","Aglaia macrocarpa","Aglaia","macrocarpa"
"525","Aglaia mariannensis","Aglaia","mariannensis"
"526","Aglaia merostela","Aglaia","merostela"
"527","Aglaia odoratissima","Aglaia","odoratissima"
"528","Aglaia oligophylla","Aglaia","oligophylla"
"529","Aglaia palauensis","Aglaia","palauensis"
"530","Aglaia parksii","Aglaia","parksii"
"531","Aglaia roxburghiana","Aglaia","roxburghiana"
"532","Aglaia rubiginosa","Aglaia","rubiginosa"
"533","Aglaia saltatorum","Aglaia","saltatorum"
"534","Aglaia samoensis","Aglaia","samoensis"
"535","Aglaia sapindina","Aglaia","sapindina"
"536","Aglaia sexipetala","Aglaia","sexipetala"
"537","Aglaia silvestris","Aglaia","silvestris"
"538","Aglaia speciosa","Aglaia","speciosa"
"539","Aglaia spectabilis","Aglaia","spectabilis"
"540","Aglaia sppBakosar1","Aglaia",NA
"541","Aglaia sppPacific1","Aglaia",NA
"542","Aglaia sppPacific2","Aglaia",NA
"543","Aglaia sppPacific3","Aglaia",NA
"544","Aglaia sppPasoh301","Aglaia",NA
"545","Aglaia sppSemengoh1","Aglaia",NA
"546","Aglaia sppSemengoh2","Aglaia",NA
"547","Aglaia sppSemengoh3","Aglaia",NA
"548","Aglaia sppSemengoh4","Aglaia",NA
"549","Aglaia sppTEAM1","Aglaia",NA
"550","Aglaia sppTEAM2","Aglaia",NA
"551","Aglaia sppTEAM3","Aglaia",NA
"552","Aglaia sppTEAM4","Aglaia",NA
"553","Aglaia sppTEAM5","Aglaia",NA
"554","Aglaia sppTEAM6","Aglaia",NA
"555","Aglaia sppTEAM7","Aglaia",NA
"556","Aglaia sppTEAM8","Aglaia",NA
"557","Aglaia sppTEAM9","Aglaia",NA
"558","Aglaia sppVN1","Aglaia",NA
"559","Aglaia sppVarirata1","Aglaia",NA
"560","Aglaia sppVarirata2","Aglaia",NA
"561","Aglaia sppVarirata3","Aglaia",NA
"562","Aglaia sppVarirata4","Aglaia",NA
"563","Aglaia sppVarirata5","Aglaia",NA
"564","Aglaia tenuicaulis","Aglaia","tenuicaulis"
