Acacia sppChaquima4
Acacia sppCuzcoama1
Acacia sppES1
Acacia sppFPnet1
Acacia sppGT1
Acacia sppGaleraz1
Acacia sppGaleraz2
Acacia sppIT1
Acacia sppJatunsac1
Acacia sppMadidiri1
Acacia sppMotozint1
Acacia sppNuevomun1
Acacia sppNuevomun2
Acacia sppPE1
Acacia sppPT1
Acacia sppPande1
Acacia sppRAINFOR1
Acacia sppRioheath1
Acacia sppRioheath2
Acacia sppRionegro1
Acacia sppRiotavar1
Acacia sppTZ1
Acacia sppTutunend1
Acacia sppUS1
Acacia sppVN1
Acacia stenophylla
Acacia tacanensis
Acacia tamarindifolia
Acacia tenuifolia
Acacia tenuissima
Acacia tortilis
Acacia torulosa
Acacia turbacensis
Acacia visco
Acalypha cuneata
Acalypha diversifolia
Acalypha ferdinandii
Acalypha glabrata
Acalypha macrostachya
Acalypha mapirensis
Acalypha obovata
Acalypha repanda
Acalypha skutchii
Acalypha sppCampano1
Acalypha sppCueva1
Acalypha sppFPnet1
Acalypha sppHachimal1
Acalypha sppLagenoa1
Acalypha sppLaplanad1
Acalypha sppNadugani1
Acalypha sppRAINFOR1
Acalypha stenoloba
Acalypha stricta
Acalypha villosa
Acanthocereus pentagonus
Acanthocereus sppChaquima1
Acanthocladus pulcherrimus
Acanthopanax senticosus
Acanthosyris annonagustata
Acca sellowiana
Acer amplum
Acer barbatum
Acer barbinerve
Acer buergerianum
Acer caesium
Acer campbellii
Acer campestre
Acer cappadocicum
Acer cordatum
Acer crataegifolium
Acer fabri
Acer ginnala
Acer glabrum
Acer grandidentatum
Acer komarovii
Acer leucoderme
Acer lobelii
Acer macrophyllum
Acer mandshuricum
Acer mono
Acer monspessulanum
Acer negundo
Acer nigrum
Acer obtusatum
Acer obtusifolium
Acer opalus
Acer palmatum
Acer pensylvanicum
Acer pictum
Acer pilosum
Acer platanoides
Acer pseudo-sieboldianum
Acer pseudoplatanus
Acer pseudosieboldianum
Acer rubrum
Acer saccharinum
Acer saccharum
Acer spicatum
Acer sppCAi1
Acer sppDEii1
Acer sppEU1
Acer sppIN1
Acer sppNL1
Acer sppNL2
Acer sppUS1
Acer tataricum
Acer tegmentosum
Acer triflorum
Acer truncatum
Acer ukurunduense
Aceratium oppositifolium
Aceratium parvifolium
Aceratium sppPacific1
Aceratium sppVarirata1
Aceratium sppVarirata3
Achatocarpus gracilis
Achatocarpus nigricans
Achatocarpus praecox
Achatocarpus sppSantotom1
Achras zapota
Acidoton sppRanchoqu1
Acioa scabrifolia
Ackama rosifolia
Acmena acuminatissima
Acmena hemilampra
Acmena smithii
Acnistus arborescens
Acosmium cardenasii
Acosmium lentiscifolium
Acosmium sppRAINFOR1
Acrocarpus fraxinifolius
Acrocomia aculeata
Acrocomia media
Acrocomia totai
Acronychia laevis
Acronychia pedunculata
Acronychia porteri
Acronychia wilcoxiana
Acropogon aoupiniensis
Acropogon grandiflorus
Acropogon merytifolius
Acropogon sageniifolius
Acropogon schistophilus
Acropogon schumannianus
Acsmithia sppNewcaldo1
Actinidia arguta
Actinodaphne borneensis
Actinodaphne ferruginea
Actinodaphne lancifolia
Actinodaphne macrophylla
Actinodaphne nitida
Actinodaphne obovata
Actinodaphne pruinosa
Actinodaphne sppBaitete1
Actinodaphne sppIN1
Actinodaphne sppTEAM1
Actinodaphne sppVN1
Actinokentia divaricata
Actinostemon brasiliensis
Actinostemon concepcionis
Actinostemon concolor
Actinostemon klotzschii
Actinostemon sppBRii1
Actinostemon sppBRii2
Actinostemon sppSCA1
Acumea kleniana
Adansonia digitata
Adelia ricinella
Adelia sppGT1
Adelia triloba
Adelobotrys adscendens
Adelobotrys sppMiazi1
Adelobotrys sppTutunend1
Adenanthera bicolor
Adenanthera klaineana
Adenanthera malayana
Adenanthera microsperma
Adenanthera pavonina
Adenanthera sppPasoh401
Adenia olaboensis
Adenia penangiana
Adenia sppAnkarif1
Adenocalymma hirtum
Adenocalymma sppPE1
Adenocalymma sppSCA1
Adenocalymna bracteatum
Adenocalymna bracteolatum
Adenocalymna flavum
Adenocalymna grandifolium
Adenocalymna hirtum
Adenocalymna impressum
Adenocalymna inundatum
Adenocalymna magdalenense
Adenocalymna marginatum
Adenocalymna paulistarum
Adenocalymna prancei
Adenocalymna purpurascens
Adenocalymna redactum
Adenocalymna salmoneum
Adenocalymna sclerophyllum
Adenocalymna sppCarajas1
Adenocalymna uleanum
Adenophaedra megalophylla
Adenophora grandiflora
Adenopodia polystachya
Adenopodia scelerata
Adenopus sppMtcam1
Adenostephanus sppSCA1
Adina cordifolia
Adina pilulifera
Adina polycephala
Adina sessilifolia
Adina sppVN1
Adinandra formosana
Adinandra glischroloma
Adinandra laotica
Adinandra millettii
Adinandra sppGenting1
Adinandra sppGenting2
Adinandra sppSakaera21
Aegiphila alba
Aegiphila albavel
Aegiphila amaranth
Aegiphila anomala
Aegiphila brachiata
Aegiphila cephalophora
Aegiphila chrysantha
Aegiphila cordata
Aegiphila costaricensis
Aegiphila elata
Aegiphila elegans
Aegiphila glabra
Aegiphila haughtii
Aegiphila hirsuta
Aegiphila hoehnei
Aegiphila integrifolia
Aegiphila laeta
Aegiphila lanceolata
Aegiphila macrantha
Aegiphila obducta
Aegiphila odontophylla
Aegiphila panamensis
Aegiphila sellowiana
Aegiphila sppAraracua1
Aegiphila sppBRi1
Aegiphila sppCedral1
Aegiphila sppCerroesp1
Aegiphila sppColosoi1
Aegiphila sppCuangos1
Aegiphila sppCuevas1
Aegiphila sppFPnet1
Aegiphila sppFarall1
Aegiphila sppLaraya1
Aegiphila sppLinhares1
Aegiphila sppMagsasay1
Aegiphila sppPersever1
Aegiphila sppRiomanso1
Aegiphila sppRiotavar1
Aegiphila sppSabanaru1
Aegiphila sppSantacru1
Aegiphila sppTamblat21
Aegiphila sppUcumari1
Aegiphila verticillata
Aequatorium cajamarcense
Aerioselam macrocarpom
Aeschynomene amorphoides
Aesculus californica
Aesculus flava
Aesculus glabra
Aesculus hippocastaneum
Aesculus hippocastanum
Aesculus sppUS1
Aesculus sylvatica
Aextoxicon punctatum
Affonsea sppFPnet1
Affonsea sppSCA1
Afraegle paniculata
Afrife sppCDi1
Afrimax sppCDi1
Afrocrania volkensii
Afrosersalisia afzelii
Afrostyrax kamerunensis
Afrostyrax lepidophyllus
Afrostyrax sppBanyong1
Afrostyrax sppGA1
Afrostyrax sppGA2
Afrostyrax sppNdakanni1
Afzelia africana
Afzelia bella
Afzelia bipindensis
Afzelia bracteata
Afzelia pachyloba
Afzelia parviflora
Afzelia sppFPnet1
Afzelia xylocarpa
Aganope lucida
Aganosma marginata
Agarista eucalyptoides
Agarista salicifolia
Agatea rufotomentosa
Agatea sppNewcaldo1
Agatea sppNewcaldo2
Agathis australis
Agathis lanceolata
Agathis macrophylla
Agathis macrostachys
Agathis moorei
Agathis robusta
Agathis sppNewcaldo1
Agauria salicifolia
Agauria sppTZ1
Agave sppMotozint1
Agelaea borneensis
Agelaea macrophylla
Agelaea obliqua
Agelaea paradoxa
Agelaea pentagyna
Agelaea sppNdakani1
Agelaea sppNdakanni1
Agelaea sppPasoh401
Agelaea sppPerinet1
Agelaea trinervis
Aglaia anamallayana
Aglaia aquea
Aglaia argentea
Aglaia axillaris
Aglaia basiphylla
Aglaia borneensis
Aglaia cinerea
Aglaia cordata
Aglaia crysocelata
Aglaia cucullata
Aglaia cumingiana
Aglaia dookoo
Aglaia edulis
Aglaia elaeagnoidea
Aglaia euphorioides
Aglaia eximia
Aglaia exstipulata
Aglaia forbesii
Aglaia ganggo
Aglaia gigantea
Aglaia glabriflora
Aglaia grandis
Aglaia korthalsii
Aglaia lawii
Aglaia leptantha
Aglaia macrocarpa
Aglaia mariannensis
Aglaia merostela
Aglaia odoratissima
Aglaia oligophylla
Aglaia palauensis
Aglaia parksii
Aglaia roxburghiana
Aglaia rubiginosa
Aglaia saltatorum
Aglaia samoensis
Aglaia sapindina
Aglaia sexipetala
Aglaia silvestris
Aglaia speciosa
Aglaia spectabilis
Aglaia sppBakosar1
Aglaia sppPacific1
Aglaia sppPacific2
Aglaia sppPacific3
Aglaia sppPasoh301
Aglaia sppSemengoh1
Aglaia sppSemengoh2
Aglaia sppSemengoh3
Aglaia sppSemengoh4
Aglaia sppTEAM1
Aglaia sppTEAM2
Aglaia sppTEAM3
Aglaia sppTEAM4
Aglaia sppTEAM5
Aglaia sppTEAM6
Aglaia sppTEAM7
Aglaia sppTEAM8
Aglaia sppTEAM9
Aglaia sppVN1
Aglaia sppVarirata1
Aglaia sppVarirata2
Aglaia sppVarirata3
Aglaia sppVarirata4
Aglaia sppVarirata5
Aglaia tenuicaulis
Aglaia tomentosa
Aglaia trichilia
Aglaia unifolia
Aglaia vitiensis
Agonandra brasiliensis
Agonandra engleri
Agonandra excelsa
Agonandra peruviana
Agonandra racemosa
Agonandra silvatica
Agonandra spegazzini
Agonandra sppChaquima1
Agonandra sppFPnet1
Agonandra sppRAINFOR1
Agonandra sppSCA1
Agonandra sppTEAM1
Agouticarpa sppFPnet1
Agouticarpa sppRAINFOR1
Agrostistachys longifolia
Aida racemosa
Aidia canthioides
Aidia cochinchinensis
Aidia congestum
Aidia densiflora
Aidia genipiflora
Aidia micrantha
Aidia ochroleuca
Aidia parvifolia
Aidia sppCDi1
Aidia sppCDi2
Aidia sppGA1
Aidia wallichiana
Ailanthus altissima
Ailanthus integrifolia
Ailanthus malabarica
Ailanthus moluccana
Aiouea densiflora
Aiouea dubia
Aiouea grandifolia
Aiouea longipetiolata
Aiouea saligna
Aiouea sppAntado1
Aiouea sppFPnet1
Aiouea sppPE1
Aiouea sppRAINFOR1
Aiouea sppRanchoqu1
Aiouea sppTEAM1
Aiouea sppTambupl1
Aiouea tomentella
Aiphanes aculeata
Aiphanes concinna
Aiphanes erinacea
Aiphanes sppAntado1
Aiphanes sppCuangos1
Aiphanes sppCuevas1
Aiphanes sppFarall1
Aiphanes sppHachimal1
Aiphanes sppIncahuar1
Aiphanes sppLaplanad1
Aiphanes sppMaquipuc1
Aiphanes ulei
Airyantha schweinfurthii
Akiba sppCutervo1
Alafia barteri
Alafia thouarsii
Alangium chinense
Alangium ebenaceum
Alangium griffithii
Alangium javanicum
Alangium kurzii
Alangium platanifolium
Alangium ridleyi
Alangium sppBaitete1
Alangium sppNadugani1
Alangium villosum
Alangium vitiense
Alberta humblotii
Alberta sppRAINFOR1
Albizia adenocephala
Albizia adianthifolia
Albizia aurisparsa
Albizia balsamifera
Albizia bernieri
Albizia carbonaria
Albizia caribaea
Albizia commiphoroides
Albizia corymbosa
Albizia dubia
Albizia duckeana
Albizia edwallii
Albizia falcataria
Albizia ferruginea
Albizia glaberrima
Albizia guachapele
Albizia gummifera
Albizia julibrissin
Albizia kalkora
Albizia lebbec
Albizia lebbeck
Albizia lucidior
Albizia myriophylla
Albizia niopoides
Albizia occidentalis
Albizia pedicellaris
Albizia polycephala
Albizia procera
Albizia purpusii
Albizia saman
Albizia saponaria
Albizia sppAnkarif1
Albizia sppBRi1
Albizia sppBerbicer1
Albizia sppCDi1
Albizia sppCDi2
Albizia sppCDi3
Albizia sppColorado1
Albizia sppFPnet1
Albizia sppGA1
Albizia sppGHA1
Albizia sppIN1
Albizia sppNosymang1
Albizia sppPacific1
Albizia sppPerinet1
Albizia sppRAINFOR1
Albizia sppSL1
Albizia sppTEAM1
Albizia tomentosa
Albizia tulearensis
Albizia zygia
Albizzia granulosa
Albizzia marthae
Albizzia odoratissima
Albizzia petitiana
Albizzia sppFPnet1
Alchornea acutifolia
Alchornea brittonii
Alchornea coelophylla
Alchornea cordata
Alchornea cordifolia
Alchornea costaricensis
Alchornea discolor
Alchornea floribunda
Alchornea fluviatilis
Alchornea glandulosa
Alchornea grandiflora
Alchornea grandis
Alchornea iricurana
Alchornea latifolia
Alchornea oblonga
Alchornea pearcei
Alchornea rugosa
Alchornea schomburgkii
Alchornea sidifolia
Alchornea sppAchupall1
Alchornea sppAnchicay1
Alchornea sppAnkarif1
Alchornea sppAntado1
Alchornea sppBOi1
Alchornea sppBanyong1
Alchornea sppCampano1
Alchornea sppCentinel1
Alchornea sppCeroneb21
Alchornea sppFPnet1
Alchornea sppLinhares1
Alchornea sppMiazi1
Alchornea sppMishnfl1
Alchornea sppNangarit1
Alchornea sppRAINFOR1
Alchornea sppRiopal21
Alchornea sppRiotavar1
Alchornea sppSietecue1
Alchornea sppTEAM1
Alchornea sppTahuampa1
Alchornea tiliaefolia
Alchornea triplinervia
Alchorneopsis floribunda
Alchorneopsis sppGF1
Alchorneopsis sppRAINFOR1
Aldina latifolia
Alectryon excelsus
Alectryon oleifolius
Alectryon semicinereus
Alectryon subcinereus
Aleurites moluccana
Alexa grandiflora
Alexa imperatricis
Alexa wachenheimii
Alexia sppPasoh401
Alfaroa colombiana
Alfaroa sppCerroelp1
Alfaroa williamsii
Alibertia atlantica
Alibertia baiana
Alibertia benensis
Alibertia curviflora
Alibertia edulis
Alibertia hispida
Alibertia itayensis
Alibertia latifolia
Alibertia macrophylla
Alibertia pilosa
Alibertia sessilis
Alibertia sppAraracua1
Alibertia sppBerbicer1
Alibertia sppCampano1
Alibertia sppCochacas1
Alibertia sppFPnet1
Alibertia sppPE1
Alibertia sppRAINFOR1
Alibertia sppSCA1
Alibertia stenantha
Alibertia tutumilla
Alibertia verrucosa
Alinea lanceolata
Allagoptera caudescens
Allanblackia floribunda
Allanblackia gabonensis
Allanblackia klainei
Allanblackia marienii
Allanblackia parviflora
Allanblackia smittmania
Allanblackia sppBelinga1
Allanblackia sppCDi1
Allanblackia sppCDi2
Allanblackia sppCDi3
Allanblackia ulugurensis
Allantoma decandra
Allantoma lineata
Allantospermum borneense
Allenanthus hondurensis
Alleospermum sppAltodemi1
Allexis cauliflora
Allocasuarina inophloia
Allocasuarina littoralis
Allocasuarina luehmannii
Allocasuarina torulosa
Allomarkgrafia plumeriiflora
Allophyllum integrifolium
Allophyllus cobbe
Allophyllus psilospermus
Allophyllus sppGA1
Allophyllus sppGAB1
Allophyllus sppGAB2
Allophyllus sppYanam11
Allophylus abyssinicus
Allophylus africanus
Allophylus amazonicus
Allophylus bojerianus
Allophylus campostachys
Allophylus camptostachys
Allophylus cobbe
Allophylus cominia
Allophylus coriaceus
Allophylus coursii
Allophylus divaricatus
Allophylus dodsonii
Allophylus edulis
Allophylus excelsus
Allophylus floribundus
Allophylus gentryi
Allophylus glabratus
Allophylus guaraniticus
Allophylus incanus
Allophylus laevigatus
Allophylus latifolius
Allophylus loretensis
Allophylus nitidulus
Allophylus occidentalis
Allophylus petiolulatus
Allophylus pilosus
Allophylus pinnatus
Allophylus psilospermus
Allophylus puberulus
Allophylus punctatus
Allophylus racemosus
Allophylus scrobiculatus
Allophylus sppBRi1
Allophylus sppCarajas1
Allophylus sppChaquima1
Allophylus sppChaquima2
Allophylus sppCuevas1
Allophylus sppFPnet1
Allophylus sppGentry1
Allophylus sppLagenoa1
Allophylus sppLagenoa2
Allophylus sppMadidi1
Allophylus sppMadidiri1
Allophylus sppNosymang1
Allophylus sppNuevomun1
Allophylus sppPerinet1
Allophylus sppPerinet2
Allophylus sppPerinet3
Allophylus sppPersever1
Allophylus sppRAINFOR1
Allophylus sppRiotavar1
Allophylus sppSCA1
Allophylus sppSantacru1
Allophylus sppTEAM1
Allophylus sppTEAM2
Allophylus sppUcumari1
Allophylus sppYanam11
Allophylus timorensis
Alloplectus sppCutervo1
Alloplectus sppUcumari1
Allosanthus sppCarara1
Allosanthus trifoliolatus
Allospondias lakonensis
Alloxylon pinnatum
Alluaudia procera
Almeidea coerulea
Alniphyllum fortunei
Alnus acuminata
Alnus arguta
Alnus cordata
Alnus firma
Alnus firmifolia
Alnus glutinosa
Alnus incana
Alnus japonica
Alnus jorullensis
Alnus nepalensis
Alnus oblongifolia
Alnus pendula
Alnus rhombifolia
Alnus rubra
Alnus rugosa
Alnus serrulata
Alnus sibirica
Alnus sppCAi1
Alnus sppDE1
Alnus sppDEii1
Alnus sppDK1
Alnus sppFunDiv1
Alnus sppIN1
Alnus sppMX1
Alnus viridis
Alocasia macrorhiza
Aloysia sppRiachuel1
Aloysia virgata
Alphitonia carolinensis
Alphitonia excelsa
Alphitonia macrocarpa
Alphitonia neocaledonica
Alphitonia petriei
Alphitonia sppPacific1
Alphitonia whitei
Alphitonia zizyphoides
Alphonsea elliptica
Alphonsea johorensis
Alphonsea maingayi
Alseis blackiana
Alseis eggersii
Alseis floribunda
Alseis labatioides
Alseis lugonis
Alseis microcarpa
Alseis peruviana
Alseis sppCandamo1
Alseis sppFPnet1
Alseis sppPE1
Alseis sppRAINFOR1
Alseis sppRioheath1
Alseis sppSCA1
Alseis yucatanensis
Alseodaphne falcata
Alseodaphne glomenta
Alseodaphne helophila
Alseodaphne intermedia
Alseodaphne nigrescens
Alseodaphne peduncularis
Alseodaphne sp1
Alseodaphne sppAvalanch1
Alseodaphne sppAvalanch2
Alseodaphne sppGenting1
Alseodaphne sppPasoh401
Alseodaphne sppTEAM1
Alseuosmia macrophylla
Alsodeiopsis schumannii
Alsodeiopsis weissenborniana
Alsophila cuspidata
Alsophila erinacea
Alsophila firma
Alsophila portoricensis
Alsophila sppCerroolu1
Alsophila stelligera
Alsophila sternbergii
Alsophila vieillardii
Alstonia angustiloba
Alstonia boonei
Alstonia comptonii
Alstonia congensis
Alstonia constricta
Alstonia costata
Alstonia lanceolata
Alstonia longifolia
Alstonia macrophylla
Alstonia montana
Alstonia pacifica
Alstonia parvifolia
Alstonia plumosa
Alstonia rostrata
Alstonia scholaris
Alstonia spectabilis
Alstonia sphaerocapitata
Alstonia sppGA1
Alstonia sppGentry1
Alstonia sppNewcaldo1
Alstonia sppPacific1
Alstonia sppTEAM1
Alstonia vitiense
Alstonia vitiensis
Altingia excelsa
Alyxia leucogyne
Alyxia ruscifolia
Alyxia sppGenting1
Alyxia sppGentry1
Alyxia sppNewcaldo1
Alyxia sppNewcaldo2
Alyxia sppNewcaldo3
Alzatea sppAchupall1
Alzatea verticillata
Amaioua corymbosa
Amaioua glomerulata
Amaioua guianensis
Amaioua intermedia
Amaioua pedicellata
Amaioua pilosa
Amaioua sppBelem1
Amaioua sppBoraceia1
Amaioua sppCalima1
Amaioua sppFPnet1
Amaioua sppGF1
Amaioua sppIndiana1
Amaioua sppMishnfl1
Amaioua sppRAINFOR1
Amaioua sppRioheath1
Amaioua sppRiomanso1
Amania sppProviden1
Amanoa bracteosa
Amanoa congesta
Amanoa guianensis
Amanoa oblongifolia
Amanoa potamophila
Amanoa sppFPnet1
Amanoa sppSL1
Amanoa strobilacea
Amara sppNadugani1
Amaranthus lividus
Amaranthus tricolor
Amaroria soulameoides
Ambavia capuronii
Ambavia gerrardii
Ambelania acida
Ambelania duckei
Ambelania occidentalis
Ambelania sppGF1
Ambelania sppRAINFOR1
Amblygonocarpus andongensis
Amborella trichopoda
Amburana acreana
Amburana cearensis
Amburana sppFPnet1
Amburana sppPE1
Amburana sppRAINFOR1
Amelanchier alnifolia
Amelanchier arborea
Amelanchier asiatica
Amelanchier bartramiana
Amelanchier canadensis
Amelanchier laevis
Amelanchier lamarckii
Amelanchier ovalis
Amelanchier sanguinea
Amelanchier sppCAi1
Amelanchier sppCAii1
Amelanchier sppUS1
Amesiodendron chinense
Amesiodeuchon chinense
Amomum sppBaitete1
Amomyrtus luma
Amomyrtus meli
Amoora wallichii
Amorpha fruticosa
Ampelocera edentula
Ampelocera glabra
Ampelocera hottlei
Ampelocera longissima
Ampelocera macphersonii
Ampelocera macrocarpa
Ampelocera ruizii
Ampelocera sppCarajas1
Ampelocera sppCarara1
Ampelocera sppChaquima1
Ampelocera sppEncanto1
Ampelocera sppEsmerald1
Ampelocera sppFPnet1
Ampelocera sppGentry1
Ampelocera sppPerromue1
Ampelocera sppRAINFOR1
Ampelocera sppTamblat21
Ampelocera sppTamboall1
Ampelocera sppTarapoto1
Ampelocera verrucosa
Ampelocissus sppSakaerat1
Ampelopsis brevipedunculata
Ampelopsis cantoniensis
Ampelopsis rubifolia
Ampelopsis sppCN1
Ampelozizyphus amazonicus
Ampelozizyphus sppAraracua1
Ampelozizyphus sppConstanc1
Amphilophium ecuadorense
Amphilophium paniculatum
Amphilophium pannosum
Amphimas africano
Amphimas comosa
Amphimas ferrugineus
Amphimas pterocarpoides
Amphimas sppSL1
Amphiodon effusus
Amphipterygium adstringens
Amphirrhox longifolia
Amphirrhox sppCamorin1
Amphirrhox sppGF1
Amphirrhox sppLinhares1
Amphirrhox surinamensis
Amphitecna kennedyae
Amphitecna sppCerroelp1
Amygdalus davidiana
Amyrea sppPerinet1
Amyrea sppPerinet2
Amyris balsamifera
Amyris elemifera
Amyris ignea
Amyris macrocarpa
Amyris pinnata
Amyris sppAntado1
Amyris sppRoundtop1
Amyris sylvatica
Anacardiaceae sppGF1
Anacardiaceae sppIN1
Anacardiaceae sppPacific1
Anacardiaceae tapirira
Anacardium excelsum
Anacardium giganteum
Anacardium microcarpum
Anacardium occidentalis
Anacardium parvifolium
Anacardium sppAlterdoc1
Anacardium sppFPnet1
Anacardium sppPacific1
Anacardium sppRAINFOR1
Anacardium sppUS1
Anacardium spruceanum
Anacardium tenuifolium
Anacolosa frutescens
Anacolosa glochidiiformis
Anacolosa heptandra
Anacolosa ilicoides
Anacolosa lutea
Anacolosa papuana
Anacolosa pervilleana
Anacolosa uncifera
Anadenanthera colubrina
Anadenanthera macrocarpa
Anadenanthera peregrina
Anadenanthera sppBRi1
Anadenanthera sppBRii1
Anaphora liparioides
Anartia olivacea
Anaueria brasiliensis
Anaueria sppSucusari1
Anaxagoraea sppBerbicer1
Anaxagorea acuminata
Anaxagorea brachycarpa
Anaxagorea brevipes
Anaxagorea crassipetala
Anaxagorea dolichocarpa
Anaxagorea floribunda
Anaxagorea javanica
Anaxagorea phaeocarpa
Anaxagorea sppAllpahua1
Anaxagorea sppCalima1
Anaxagorea sppCeroneb11
Anaxagorea sppCeroneb21
Anaxagorea sppMagsasay1
Anaxagorea sppMishws1
Anaxagorea sppRAINFOR1
Anaxagorea sppRionegro1
Anaxagorea sppTutunend1
Anchieta sppCarlosbo1
Ancistrocarpus sppNdakani1
Ancistrocladus barteri
Ancistrocladus ealaensis
Ancistrophyllum sppNdakani1
Ancouratea sppTambo1
Ancylobothrys gabonensis
Ancylobothrys scandens
Ancylobothrys sppPugu1
Andira coriacea
Andira fraxinifolia
Andira inermis
Andira legalis
Andira lewisii
Andira macrothyrsa
Andira micrantha
Andira multistipula
Andira ormosioides
Andira parviflora
Andira retusa
Andira sppAlterdoc1
Andira sppBOi1
Andira sppCamorin1
Andira sppCarlosbo1
Andira sppFPnet1
Andira sppRAINFOR1
Andira sppSR1
Andira sppTEAM1
Andira sppTEAM2
Andira sppTEAM3
Andira sppTEAM4
Andira surinamensis
Andira unifoliolata
Androsiphonia adenostegia
Androtium astylum
Anemopaegma chamberlaynii
Anemopaegma chrysanthum
Anemopaegma chrysoleucum
Anemopaegma insculptum
Anemopaegma orbiculatum
Anemopaegma parkeri
Anemopaegma patelliforme
Anemopaegma prostratum
Anemopaegma puberulum
Anemopaegma robustum
Anemopaegma sppCuangos1
Anemopaegma sppGentry1
Anemopaegma sppJenarohe1
Anemopaegma sppRiomanso1
Anethum graveolens
Aneulophus africanus
Angiopteris evecta
Angophora costata
Angophora floribunda
Angophora leiocarpa
Angophora subvelutina
Angostura sppMishnfl1
Angostura toxicaria
Angostura ucayalina
Angylocalyx braunii
Angylocalyx oligophyllus
Angylocalyx pynaertii
Angylocalyx sppGA1
Angylocalyx sppGAB1
Angylocalyx sppNdakani1
Angylocalyx talbotii
Aniba bracteata
Aniba canelilla
Aniba cicatricosa
Aniba citrifolia
Aniba coto
Aniba cylindriflora
Aniba duckei
Aniba excelsa
Aniba ferrea
Aniba firmula
Aniba guianensis
Aniba hostmanniana
Aniba hypoglauca
Aniba intermedia
Aniba muca
Aniba murcana
Aniba panurensis
Aniba parviflora
Aniba perutilis
Aniba puchury-minor
Aniba rigens
Aniba riparia
Aniba robusta
Aniba rosaeodora
Aniba sppAntado1
Aniba sppAraracua1
Aniba sppBOi1
Aniba sppBOi2
Aniba sppCabezade1
Aniba sppCalabate1
Aniba sppCampano1
Aniba sppChirinos1
Aniba sppChirinos3
Aniba sppChorrobl1
Aniba sppConstanc1
Aniba sppCuangos1
