,ID_AE,Latitude,Longitude,Family,Genus,Species,Substitute_equation,Unit_X,Min_X,Max_X,Output_TR,Unit_Y,Ecoregion_WWF,Veg_Component
501,37946,38.597626,-80.454903,Juglandaceae,Carya,ovata,Biomass=0+0*(DBH)+2.034*((DBH)^(2.6349)),in,2,20,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
502,37948,35.212,-83.4217,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.02338*((DBH^2)^(1.27612)),in2,26,114,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
503,37948,35.8022,-82.3452,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.02338*((DBH^2)^(1.27612)),in2,26,114,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
504,37948,34.766,-84.1435,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.02338*((DBH^2)^(1.27612)),in2,26,114,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
505,37949,45.9232,-67.6283,Pinaceae,Picea,mariana,log Biomass=-1.7823+0*(DBH)+2.1777*(LOG((DBH)^(1))),cm,2,34,log,kg,Temperate broadleaf and mixed forests,Whole tree (aboveground)
506,37950,33.2404,-83.5433,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
507,37950,33.3415,-83.0448,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
508,37950,33.4156,-83.6376,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
509,37950,33.6177,-83.3412,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
510,37950,33.6244,-83.6713,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
511,37950,33.5331,-84.4072,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
512,37950,36.0875,-79.178,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
513,37950,36.2155,-78.9153,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
514,37950,36.5119,-78.6054,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
515,37950,33.7952,-84.4316,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
516,37950,33.3415,-83.3278,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
517,37950,32.8901,-83.0314,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
518,37950,34.0847,-85.3184,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
519,37950,36.815,-78.9759,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
520,37950,32.9709,-82.6339,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
521,37950,34.6416,-81.7177,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
522,37950,34.3924,-81.2562,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
523,37950,34.8606,-81.364,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
524,37950,35.1806,-81.4988,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
525,37950,35.0425,-80.3973,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
526,37950,37.3068,-79.1376,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
527,37950,33.5031,-82.836,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.04282*((DBH^2)^(1.25462)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
528,37965,33.2404,-83.5433,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
529,37965,33.3415,-83.0448,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
530,37965,33.4156,-83.6376,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
531,37965,33.6177,-83.3412,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
532,37965,33.6244,-83.6713,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
533,37965,33.5331,-84.4072,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
534,37965,36.0875,-79.178,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
535,37965,36.2155,-78.9153,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
536,37965,36.5119,-78.6054,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
537,37965,33.7952,-84.4316,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
538,37965,33.3415,-83.3278,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
539,37965,32.8901,-83.0314,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
540,37965,34.0847,-85.3184,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
541,37965,36.815,-78.9759,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
542,37965,32.9709,-82.6339,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
543,37965,34.6416,-81.7177,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
544,37965,34.3924,-81.2562,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
545,37965,34.8606,-81.364,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
546,37965,35.1806,-81.4988,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
547,37965,35.0425,-80.3973,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
548,37965,37.3068,-79.1376,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
549,37965,33.5031,-82.836,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.07266*((DBH^2)^(1.25582)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
553,38010,30.0684,-83.3669,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
554,38010,34.1901,-78.2818,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
555,38010,34.8324,-77.345,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
556,38010,35.2406,-77.1309,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
557,38010,36.1506,-76.9703,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
558,38010,30.684,-88.7733,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
559,38010,32.3166,-88.0774,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
560,38010,31.8884,-87.3012,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
561,38010,31.7278,-88.0774,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
562,38010,30.684,-86.2574,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
563,38010,35.6956,-76.5957,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
564,38010,33.8957,-79.0847,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
565,38010,31.1925,-87.8633,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
566,38010,29.3726,-82.564,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
567,38010,33.4942,-79.4862,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
568,38010,36.7929,-76.8365,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
569,38010,29.8276,-82.9387,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
570,38010,29.3726,-81.6808,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
571,38010,29.9882,-81.7343,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
572,38010,30.3896,-81.7343,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
573,38010,31.0587,-82.1358,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
574,38010,32.2096,-81.3061,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
575,38010,31.7546,-90.7806,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
576,38010,32.7716,-80.6905,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
577,38010,32.9054,-80.1285,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
578,38010,33.2266,-81.092,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
579,38010,31.1658,-88.7465,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
580,38010,31.1658,-81.7343,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+1.30697*((DBH^2)^(1.29943)),in2,121,380,NA,lb,Temperate coniferous forests,Stem + branches (live)
581,38013,35.212,-83.4217,Fagaceae,Quercus,velutina,Biomass=0+0*(DBH^2)+1.2927*((DBH^2)^(1.36723)),in2,38,110,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
582,38013,35.8022,-82.3452,Fagaceae,Quercus,velutina,Biomass=0+0*(DBH^2)+1.2927*((DBH^2)^(1.36723)),in2,38,110,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
583,38013,34.766,-84.1435,Fagaceae,Quercus,velutina,Biomass=0+0*(DBH^2)+1.2927*((DBH^2)^(1.36723)),in2,38,110,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
584,38014,39.6736,-79.7932,Fagaceae,Quercus,alba,Biomass=0+0*(DBH)+1.28919*((DBH)^(2.70096)),in,2,16,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
585,38016,30.0684,-83.3669,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
586,38016,34.1901,-78.2818,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
587,38016,34.8324,-77.345,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
588,38016,35.2406,-77.1309,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
589,38016,36.1506,-76.9703,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
590,38016,30.684,-88.7733,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
591,38016,32.3166,-88.0774,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
592,38016,31.8884,-87.3012,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
593,38016,31.7278,-88.0774,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
594,38016,30.684,-86.2574,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
595,38016,35.6956,-76.5957,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
596,38016,33.8957,-79.0847,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
597,38016,31.1925,-87.8633,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
598,38016,29.3726,-82.564,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
599,38016,33.4942,-79.4862,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
600,38016,36.7929,-76.8365,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
601,38016,29.8276,-82.9387,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
602,38016,29.3726,-81.6808,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
603,38016,29.9882,-81.7343,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
604,38016,30.3896,-81.7343,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
605,38016,31.0587,-82.1358,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
606,38016,32.2096,-81.3061,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
607,38016,31.7546,-90.7806,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
608,38016,32.7716,-80.6905,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
609,38016,32.9054,-80.1285,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
610,38016,33.2266,-81.092,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
611,38016,31.1658,-88.7465,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
612,38016,31.1658,-81.7343,Magnoliaceae,Liriodendron,tulipifera,Biomass=0+0*(DBH^2)+1.26986*((DBH^2)^(1.31689)),in2,30,117,NA,lb,Temperate coniferous forests,Whole tree (above stump)
613,38124,8.433333,-75.91111,Fabaceae,Acacia,mangium,Biomass=0.034388*(DBH)^(2.93),cm,1,29,NA,kg,Tropical and subtropical moist broadleaf forests,Stem+bark+branches
616,38155,4.83776,-73.90108,Ericaceae,Cavendishia,cordifolia,Biomass=-260.036+90.7214*SQRT((DBH)),cm,10,50,NA,kg,Montane grasslands,Stem+bark+leaves+branches
617,38158,57.575924,-103.345058,Pinaceae,Picea,mariana,Biomass=-6.71986+(1.45939*(DBH))+0.0692*((DBH)^(2))+0.00566*((DBH)^(3)),cm,5,35,NA,kg,Boreal forest/taigas,Stem + branches (live)
618,38164,-6.4,106.1,Euphorbiaceae,Hevea,brasiliensis,419-16.9*((DBH))+0.322*((DBH)^2),cm,26.1,36.8,NA,kg,Tropical and subtropical moist broadleaf forests,Total tree biomass
623,38175,47.4356,-65.5454,Rosaceae,Prunus,pensylvanica,log10 Biomass=-0.6657+1.7041*(LOG10((DBH)^(1))),cm,1,10,log10,kg,Temperate broadleaf and mixed forests,Whole tree (above stump)
625,38182,30.0684,-83.3669,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
626,38182,34.1901,-78.2818,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
627,38182,34.8324,-77.345,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
628,38182,35.2406,-77.1309,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
629,38182,36.1506,-76.9703,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
630,38182,30.684,-88.7733,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
631,38182,32.3166,-88.0774,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
632,38182,31.8884,-87.3012,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
633,38182,31.7278,-88.0774,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
634,38182,30.684,-86.2574,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
635,38182,35.6956,-76.5957,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
636,38182,33.8957,-79.0847,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
637,38182,31.1925,-87.8633,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
638,38182,29.3726,-82.564,Fagaceae,Quercus,nigra,Biomass=0+0*(DBH^2)+3.15067*((DBH^2)^(1.21955)),in2,1,114,NA,lb,Temperate coniferous forests,Stem + branches (live)
