"","ID_list","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"15","ID15",36817,34.766,-84.1435,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.536463145684,717.282975751943,995.108737378906,1328.25727063973,1719.75569617811,2172.45120512006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ID16",36819,30.0684,-83.3669,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ID17",36819,34.1901,-78.2818,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ID18",36819,34.8324,-77.345,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ID19",36819,35.2406,-77.1309,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ID20",36819,36.1506,-76.9703,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ID21",36819,30.684,-88.7733,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ID22",36819,32.3166,-88.0774,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ID23",36819,31.8884,-87.3012,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ID24",36819,31.7278,-88.0774,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ID25",36819,30.684,-86.2574,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ID26",36819,35.6956,-76.5957,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ID27",36819,33.8957,-79.0847,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ID28",36819,31.1925,-87.8633,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ID29",36819,29.3726,-82.564,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ID30",36819,33.4942,-79.4862,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ID31",36819,36.7929,-76.8365,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ID32",36819,29.8276,-82.9387,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ID33",36819,29.3726,-81.6808,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ID34",36819,29.9882,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ID35",36819,30.3896,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ID36",36819,31.0587,-82.1358,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ID37",36819,32.2096,-81.3061,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ID38",36819,31.7546,-90.7806,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ID39",36819,32.7716,-80.6905,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ID40",36819,32.9054,-80.1285,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ID41",36819,33.2266,-81.092,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ID42",36819,31.1658,-88.7465,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ID43",36819,31.1658,-81.7343,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
